EmployeeID,Name,Age,Department,JobRole,EducationLevel,City,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Overtime,PerformanceScore,TrainingHours,ProjectsCompleted,Attrition,PerformanceTarget,PromotionSuitable,TrainingNeed,EmployeeRiskScore
EMP1064,Employee_1064,26,Operations,Analyst,Bachelor,Haldwani,18000.0,0.2,4,3,No,5.0,40.3,7,0,5.0,1,0,0.0
EMP1065,Employee_1065,49,HR,Manager,Bachelor,Noida,68923.0,4.0,1,5,No,4.02,28.7,7,0,3.82,1,0,18.89
EMP1066,Employee_1066,43,IT,Specialist,Master,Dehradun,78878.0,11.7,1,3,Yes,5.0,46.0,8,1,5.0,1,0,65.39
EMP1067,Employee_1067,54,Operations,Manager,Master,Dehradun,66180.0,3.4,5,3,No,4.98,17.7,5,0,5.0,1,0,5.31
EMP1068,Employee_1068,49,HR,Coordinator,PhD,Lucknow,32648.0,5.6,2,4,Yes,5.0,34.9,4,1,5.0,1,0,63.21
EMP1069,Employee_1069,26,Sales,Coordinator,Bachelor,Delhi,66823.0,10.0,3,1,No,3.75,41.8,4,0,4.25,1,0,30.23
EMP1070,Employee_1070,23,HR,Executive,Bachelor,Dehradun,70932.0,14.0,2,4,No,4.19,23.7,8,0,4.14,1,0,12.18
EMP1071,Employee_1071,37,Marketing,Coordinator,Bachelor,Jaipur,86294.0,2.8,2,5,No,5.0,24.0,4,1,4.65,1,0,45.48
EMP1072,Employee_1072,40,IT,Manager,Master,Delhi,32726.0,5.1,3,2,Yes,4.19,30.4,5,0,4.2,1,0,24.87
EMP1073,Employee_1073,30,HR,Manager,PhD,Noida,47018.0,12.9,5,1,Yes,4.44,37.6,7,0,4.39,1,0,28.95
EMP1074,Employee_1074,52,Sales,Executive,Master,Dehradun,68440.0,0.2,3,2,Yes,4.74,29.8,4,1,5.0,0,0,56.4
EMP1075,Employee_1075,44,Marketing,Manager,Master,Delhi,53263.0,9.5,1,2,No,5.0,43.6,6,1,5.0,1,0,66.47
EMP1076,Employee_1076,50,HR,Specialist,Bachelor,Noida,27419.0,0.9,2,3,No,5.0,23.5,4,0,5.0,0,0,5.47
EMP1077,Employee_1077,25,IT,Manager,Master,Haldwani,61122.0,5.6,1,5,Yes,4.67,11.4,3,1,4.69,1,1,65.81
EMP1078,Employee_1078,53,IT,Executive,Bachelor,Dehradun,64731.0,4.2,5,3,No,5.0,57.7,7,0,5.0,1,0,0.0
EMP1079,Employee_1079,29,Finance,Manager,Bachelor,Delhi,53935.0,1.2,2,1,No,4.47,21.5,5,0,4.62,0,0,28.09
EMP1080,Employee_1080,38,Marketing,Coordinator,Bachelor,Delhi,56831.0,1.1,2,2,Yes,4.87,22.0,7,0,5.0,0,0,48.02
EMP1081,Employee_1081,38,Operations,Specialist,Bachelor,Haldwani,46308.0,6.4,1,4,Yes,4.42,29.1,8,1,4.73,1,0,76.52
EMP1082,Employee_1082,53,HR,Executive,Bachelor,Jaipur,84522.0,9.4,3,2,No,5.0,30.9,5,0,4.93,1,0,9.61
EMP1083,Employee_1083,32,Sales,Coordinator,Bachelor,Dehradun,32185.0,4.7,5,3,No,5.0,24.6,8,0,5.0,1,0,0.0
EMP1084,Employee_1084,30,Marketing,Coordinator,Bachelor,Dehradun,39079.0,5.5,3,4,No,5.0,29.8,4,0,5.0,1,0,0.0
EMP1085,Employee_1085,34,Finance,Analyst,Master,Noida,52242.0,7.6,4,2,No,5.0,29.4,7,0,5.0,1,0,10.65
EMP1086,Employee_1086,35,Marketing,Specialist,Bachelor,Noida,71337.0,1.1,1,4,No,4.15,32.4,6,0,3.66,0,0,11.43
EMP1087,Employee_1087,28,Sales,Developer,Bachelor,Dehradun,19058.0,8.3,1,2,No,5.0,5.0,2,1,5.0,1,1,69.12
EMP1088,Employee_1088,28,IT,Manager,PhD,Delhi,23173.0,8.6,4,1,No,5.0,56.3,6,0,5.0,1,0,12.56
EMP1089,Employee_1089,30,Marketing,Developer,Master,Haldwani,18000.0,16.1,1,2,No,5.0,27.9,5,0,5.0,1,0,41.25
EMP1090,Employee_1090,39,Marketing,Specialist,Master,Noida,52719.0,3.6,3,3,No,5.0,38.1,7,0,5.0,1,0,2.08
EMP1091,Employee_1091,34,HR,Coordinator,Bachelor,Noida,27397.0,3.3,2,1,No,3.74,10.7,6,1,3.73,0,1,59.95
EMP1092,Employee_1092,36,Marketing,Specialist,Master,Dehradun,43540.0,8.4,1,5,No,5.0,23.4,8,0,5.0,1,0,13.17
EMP1093,Employee_1093,49,Operations,Coordinator,Bachelor,Jaipur,66550.0,8.6,3,3,No,5.0,20.6,8,0,5.0,1,0,0.0
EMP1094,Employee_1094,30,HR,Coordinator,Bachelor,Haldwani,37886.0,3.0,5,1,No,5.0,50.6,3,0,5.0,1,0,19.0
EMP1095,Employee_1095,57,Operations,Executive,Master,Noida,57088.0,3.5,1,5,No,3.85,21.8,6,0,3.97,1,0,6.81
EMP1096,Employee_1096,51,IT,Analyst,Master,Dehradun,45415.0,7.5,5,5,No,5.0,40.6,3,0,5.0,1,0,0.0
EMP1097,Employee_1097,27,IT,Specialist,Master,Lucknow,66787.0,1.7,3,1,No,4.53,20.9,11,0,4.76,1,0,12.04
EMP1098,Employee_1098,33,Marketing,Manager,Master,Jaipur,62453.0,3.5,4,1,No,5.0,23.7,5,0,5.0,1,0,18.41
EMP1099,Employee_1099,28,Finance,Executive,Master,Delhi,36777.0,5.6,1,2,No,5.0,26.6,2,0,5.0,1,0,36.17
EMP1100,Employee_1100,31,Sales,Executive,Bachelor,Jaipur,48290.0,9.4,5,3,No,5.0,48.0,8,0,4.97,1,0,6.9
EMP1101,Employee_1101,35,Marketing,Manager,Bachelor,Lucknow,74962.0,2.7,1,4,No,5.0,5.0,6,0,5.0,0,1,17.65
EMP1102,Employee_1102,26,IT,Manager,Bachelor,Delhi,60654.0,0.2,5,3,No,5.0,11.6,6,0,4.75,1,0,0.0
EMP1103,Employee_1103,21,Marketing,Analyst,Bachelor,Lucknow,21267.0,0.2,4,4,Yes,5.0,5.0,2,0,4.79,0,1,18.97
EMP1104,Employee_1104,38,Sales,Analyst,Master,Delhi,66424.0,0.2,2,1,No,3.09,14.8,6,0,2.73,0,1,24.28
EMP1105,Employee_1105,49,Marketing,Executive,Bachelor,Delhi,28139.0,0.2,1,4,No,5.0,18.6,6,1,5.0,0,1,40.78
EMP1106,Employee_1106,33,Marketing,Manager,Master,Delhi,83075.0,4.6,4,5,No,5.0,7.4,3,0,5.0,1,0,2.18
EMP1107,Employee_1107,55,Marketing,Executive,Master,Noida,74530.0,0.2,1,3,No,4.34,19.7,2,0,4.42,0,1,9.97
EMP1108,Employee_1108,35,Finance,Manager,Master,Haldwani,58377.0,2.2,4,3,No,5.0,5.0,5,0,5.0,1,0,0.0
EMP1109,Employee_1109,57,HR,Developer,Bachelor,Noida,55459.0,1.9,4,2,No,5.0,15.7,3,0,5.0,0,0,15.6
EMP1110,Employee_1110,30,Marketing,Developer,Bachelor,Delhi,47401.0,3.3,2,5,Yes,4.96,46.8,3,0,5.0,1,0,31.24
EMP1111,Employee_1111,42,IT,Specialist,PhD,Dehradun,66928.0,10.8,2,1,No,5.0,35.7,6,0,5.0,1,0,34.69
EMP1112,Employee_1112,51,Marketing,Manager,Master,Jaipur,43843.0,8.0,2,2,Yes,4.66,32.6,6,0,4.72,1,0,49.16
EMP1113,Employee_1113,23,Finance,Specialist,Master,Jaipur,57183.0,5.3,2,1,No,3.58,16.0,4,1,3.7,0,1,65.98
EMP1114,Employee_1114,58,HR,Specialist,Master,Lucknow,71183.0,3.3,1,5,No,3.93,8.5,8,1,3.93,1,1,47.79
EMP1115,Employee_1115,35,Finance,Coordinator,Master,Delhi,39640.0,3.4,2,3,No,4.0,14.1,6,0,4.01,0,1,15.54
EMP1116,Employee_1116,40,Finance,Specialist,Bachelor,Lucknow,38444.0,6.6,4,5,Yes,5.0,29.4,2,0,5.0,1,0,12.02
EMP1117,Employee_1117,46,Sales,Manager,Master,Lucknow,25724.0,7.7,2,4,Yes,5.0,42.2,4,0,5.0,1,0,29.02
EMP1118,Employee_1118,46,Sales,Developer,Bachelor,Haldwani,28582.0,1.4,4,3,No,5.0,42.6,3,0,4.8,1,0,13.09
EMP1119,Employee_1119,21,IT,Analyst,Master,Delhi,18000.0,5.4,5,3,No,5.0,38.8,1,0,4.97,1,0,0.91
EMP1120,Employee_1120,55,Sales,Manager,PhD,Jaipur,68056.0,0.2,4,2,Yes,4.28,19.7,6,1,4.33,0,0,67.25
EMP1121,Employee_1121,45,HR,Executive,Bachelor,Noida,91796.0,6.1,3,3,No,5.0,30.3,5,0,5.0,1,0,0.0
EMP1122,Employee_1122,60,Marketing,Coordinator,Bachelor,Delhi,83357.0,8.4,2,4,Yes,4.98,25.5,4,0,5.0,1,0,35.1
EMP1123,Employee_1123,39,Finance,Coordinator,Bachelor,Dehradun,18000.0,4.0,5,5,No,5.0,27.2,11,0,5.0,1,0,3.8
EMP1124,Employee_1124,45,HR,Executive,PhD,Noida,67947.0,12.8,2,3,No,5.0,58.5,4,0,5.0,1,0,18.84
EMP1125,Employee_1125,38,Operations,Specialist,Bachelor,Delhi,83286.0,1.5,3,5,Yes,3.93,5.3,0,0,3.85,0,1,16.07
EMP1126,Employee_1126,56,Finance,Executive,Bachelor,Dehradun,41950.0,6.1,3,5,Yes,5.0,26.7,10,0,5.0,1,0,20.17
EMP1127,Employee_1127,54,Sales,Specialist,Bachelor,Noida,54232.0,5.0,4,3,No,5.0,47.0,9,0,5.0,1,0,6.36
EMP1128,Employee_1128,57,Marketing,Executive,Bachelor,Jaipur,18000.0,4.8,3,3,No,3.77,9.5,2,0,3.8,0,1,1.42
EMP1129,Employee_1129,41,Finance,Developer,Bachelor,Delhi,57868.0,4.7,4,1,No,5.0,21.0,8,0,5.0,1,0,14.43
EMP1130,Employee_1130,52,Finance,Manager,Bachelor,Haldwani,28602.0,5.6,5,2,No,5.0,22.6,5,0,4.51,1,0,19.47
EMP1131,Employee_1131,35,Finance,Specialist,Bachelor,Jaipur,56392.0,8.8,2,5,No,5.0,26.9,4,0,5.0,1,0,10.48
EMP1132,Employee_1132,39,Finance,Developer,Bachelor,Lucknow,18000.0,11.0,5,1,Yes,5.0,7.7,7,0,5.0,1,0,26.41
EMP1133,Employee_1133,51,Sales,Coordinator,Bachelor,Jaipur,63943.0,5.2,1,2,Yes,4.85,38.3,4,1,5.0,1,0,79.73
EMP1134,Employee_1134,24,Finance,Specialist,Bachelor,Dehradun,74539.0,8.6,5,4,No,5.0,39.3,5,0,5.0,1,0,0.0
EMP1135,Employee_1135,49,Marketing,Analyst,Bachelor,Lucknow,34770.0,2.3,1,2,Yes,4.44,37.1,5,1,4.35,0,0,84.14
EMP1136,Employee_1136,21,IT,Specialist,Master,Jaipur,26988.0,8.4,5,5,No,5.0,17.8,5,0,5.0,1,0,0.0
EMP1137,Employee_1137,44,Finance,Specialist,Bachelor,Dehradun,18000.0,2.0,2,4,No,4.33,31.2,5,0,4.01,1,0,12.64
EMP1138,Employee_1138,40,Sales,Developer,Bachelor,Noida,46139.0,9.8,5,1,Yes,5.0,17.4,7,0,4.87,1,0,28.93
EMP1139,Employee_1139,39,HR,Specialist,Bachelor,Haldwani,39205.0,14.5,1,2,Yes,5.0,25.3,7,1,5.0,1,0,80.2
EMP1140,Employee_1140,40,HR,Coordinator,Bachelor,Noida,18000.0,4.7,3,4,Yes,5.0,60.1,6,0,5.0,1,0,13.28
EMP1141,Employee_1141,40,Operations,Specialist,Bachelor,Dehradun,61966.0,0.2,5,5,No,5.0,31.3,8,0,5.0,1,0,0.0
EMP1142,Employee_1142,37,IT,Specialist,Bachelor,Jaipur,42101.0,2.9,1,5,No,3.74,13.4,4,0,3.36,0,1,14.7
EMP1143,Employee_1143,39,IT,Manager,Master,Jaipur,28334.0,10.4,2,5,No,4.82,32.5,5,0,4.96,1,0,12.76
EMP1144,Employee_1144,43,HR,Analyst,Bachelor,Noida,39799.0,7.5,1,1,No,4.28,11.1,3,0,4.25,0,1,26.13
EMP1145,Employee_1145,51,Operations,Specialist,Bachelor,Lucknow,75569.0,6.2,2,4,No,5.0,13.2,4,0,5.0,1,1,20.41
EMP1146,Employee_1146,43,Operations,Developer,Bachelor,Noida,65265.0,9.4,2,1,No,4.78,15.4,3,1,5.0,1,1,54.48
EMP1147,Employee_1147,46,Sales,Manager,Bachelor,Lucknow,49139.0,7.2,4,1,No,4.76,23.8,5,0,5.0,1,0,13.97
EMP1148,Employee_1148,54,IT,Analyst,Bachelor,Haldwani,65620.0,10.3,2,4,No,5.0,43.1,7,0,5.0,1,0,12.66
EMP1149,Employee_1149,60,Marketing,Analyst,Master,Noida,26460.0,9.1,1,3,No,4.46,38.1,12,0,4.7,1,0,17.09
EMP1150,Employee_1150,25,Sales,Executive,Master,Delhi,52712.0,11.6,1,4,No,4.81,37.3,5,0,5.0,1,0,7.73
EMP1151,Employee_1151,49,Operations,Coordinator,Bachelor,Haldwani,55241.0,6.7,5,5,No,5.0,14.6,8,0,4.92,1,0,0.0
EMP1152,Employee_1152,30,IT,Executive,Bachelor,Dehradun,41664.0,9.0,5,1,No,5.0,22.4,8,0,4.94,1,0,14.49
EMP1153,Employee_1153,28,Operations,Executive,Bachelor,Dehradun,61580.0,3.9,2,3,Yes,2.78,33.8,5,0,3.18,0,1,55.35
EMP1154,Employee_1154,52,IT,Coordinator,Bachelor,Dehradun,34830.0,2.7,1,5,No,5.0,21.2,8,0,4.83,1,0,16.66
EMP1155,Employee_1155,23,HR,Manager,Master,Jaipur,63216.0,12.4,1,3,No,4.57,26.1,8,0,4.94,1,0,9.08
EMP1156,Employee_1156,54,Finance,Developer,Bachelor,Delhi,64141.0,6.1,5,3,Yes,5.0,36.2,11,0,5.0,1,0,12.56
EMP1157,Employee_1157,51,Sales,Specialist,Bachelor,Lucknow,18000.0,8.6,4,3,No,5.0,25.1,8,0,5.0,1,0,4.43
EMP1158,Employee_1158,60,Finance,Developer,PhD,Jaipur,78187.0,5.7,4,5,No,5.0,33.2,5,0,5.0,1,0,0.0
EMP1159,Employee_1159,47,Finance,Executive,Bachelor,Delhi,18000.0,2.7,2,1,Yes,3.49,52.3,6,0,3.8,0,0,44.61
EMP1160,Employee_1160,55,Marketing,Specialist,Bachelor,Haldwani,38447.0,5.2,4,5,No,5.0,27.6,6,0,5.0,1,0,0.0
EMP1161,Employee_1161,25,Operations,Analyst,Master,Haldwani,74558.0,11.2,1,5,No,5.0,46.5,7,0,5.0,1,0,13.07
EMP1162,Employee_1162,56,Finance,Manager,Bachelor,Noida,45020.0,7.5,4,5,No,5.0,37.8,5,0,5.0,1,0,13.48
EMP1163,Employee_1163,27,HR,Coordinator,Bachelor,Lucknow,19744.0,0.2,3,3,Yes,3.51,9.5,5,0,3.74,0,0,12.94
EMP1164,Employee_1164,33,HR,Coordinator,Bachelor,Noida,27938.0,4.3,2,3,No,3.99,14.6,3,1,4.09,0,1,52.25
EMP1165,Employee_1165,26,HR,Developer,Master,Noida,74592.0,12.7,4,2,No,5.0,18.3,7,0,5.0,1,0,11.17
EMP1166,Employee_1166,37,Marketing,Specialist,Bachelor,Noida,18000.0,4.3,4,2,Yes,5.0,18.0,3,1,5.0,1,0,67.64
EMP1167,Employee_1167,50,IT,Manager,Bachelor,Lucknow,76838.0,0.2,3,5,No,5.0,28.7,6,0,5.0,1,0,4.35
EMP1168,Employee_1168,31,IT,Developer,Bachelor,Haldwani,50788.0,13.2,1,3,Yes,4.77,38.6,6,0,4.9,1,0,27.06
EMP1169,Employee_1169,53,HR,Executive,Bachelor,Noida,25767.0,8.1,1,4,Yes,4.34,47.6,2,1,4.44,1,0,64.73
EMP1170,Employee_1170,45,Sales,Developer,Master,Jaipur,39171.0,4.9,5,1,No,5.0,34.3,5,0,4.79,1,0,10.52
EMP1171,Employee_1171,46,Sales,Manager,Bachelor,Lucknow,29621.0,3.6,2,4,No,4.66,23.8,6,0,4.83,1,0,9.28
EMP1172,Employee_1172,58,Sales,Coordinator,Master,Jaipur,71057.0,9.7,2,4,No,4.97,5.0,8,0,5.0,1,1,20.18
EMP1173,Employee_1173,38,Marketing,Executive,Master,Lucknow,68113.0,2.9,4,5,No,5.0,31.0,8,0,5.0,1,0,0.0
EMP1174,Employee_1174,34,Marketing,Specialist,Master,Noida,18000.0,10.0,2,1,No,4.04,30.4,10,0,4.34,1,0,17.93
EMP1175,Employee_1175,60,Marketing,Coordinator,Bachelor,Lucknow,43121.0,7.5,2,3,Yes,4.43,32.6,11,1,4.96,1,0,73.83
EMP1176,Employee_1176,43,HR,Coordinator,Master,Dehradun,33010.0,6.2,4,3,Yes,5.0,59.5,4,1,5.0,1,0,45.99
EMP1177,Employee_1177,45,Marketing,Developer,Master,Dehradun,80457.0,5.8,3,3,Yes,5.0,47.4,10,0,5.0,1,0,13.77
EMP1178,Employee_1178,32,Sales,Executive,Bachelor,Noida,22298.0,4.5,4,1,No,4.99,41.0,7,0,5.0,1,0,23.2
EMP1179,Employee_1179,29,Operations,Analyst,Master,Jaipur,87293.0,9.6,1,3,Yes,5.0,16.5,9,0,5.0,1,1,29.29
EMP1180,Employee_1180,27,Finance,Coordinator,Master,Haldwani,51268.0,1.6,3,2,Yes,4.71,22.8,3,0,4.8,0,0,29.18
EMP1181,Employee_1181,29,Operations,Coordinator,Bachelor,Noida,26437.0,0.2,3,4,Yes,3.2,28.7,5,1,3.06,0,0,43.86
EMP1182,Employee_1182,28,Sales,Manager,Master,Noida,37100.0,7.8,4,2,No,5.0,19.1,6,0,5.0,1,0,6.83
EMP1183,Employee_1183,50,HR,Executive,Bachelor,Dehradun,34364.0,7.9,1,3,No,4.56,37.0,4,0,4.96,1,0,14.17
EMP1184,Employee_1184,23,Marketing,Executive,Master,Haldwani,23958.0,7.2,1,4,No,4.76,35.0,4,0,5.0,1,0,16.81
EMP1185,Employee_1185,46,HR,Developer,PhD,Noida,54086.0,6.9,4,1,No,5.0,14.8,6,0,5.0,1,0,16.53
EMP1186,Employee_1186,58,HR,Manager,Bachelor,Haldwani,24986.0,3.9,4,4,No,5.0,46.8,4,0,5.0,1,0,0.0
EMP1187,Employee_1187,51,Sales,Executive,Master,Noida,18000.0,8.5,5,4,Yes,5.0,31.4,9,0,5.0,1,0,15.1
